Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
free_roam_spoken_too_0d913150	u	[dialog]	game/custom_labels.rpy	3	u "[what]"
fight_tutorialLabel_0aadd307	tut	In every fight, you'll have positions from which you can attack and positions from which you'll need to defend.	game/old_fight/old_fight_labels.rpy	7	tut "[what]"
fight_tutorialLabel_ae7d5522	tut	In attacking positions you'll have a set of offensive actions, as shown on the left.	game/old_fight/old_fight_labels.rpy	8	tut "[what]"
fight_tutorialLabel_0c9e457e	tut	Since you're new to fighting, you only have 3 simple attacks:	game/old_fight/old_fight_labels.rpy	9	tut "[what]"
fight_tutorialLabel_96c8a50f	tut	{b}[q!u]{/b}: a quick, left-handed jab to create distance and attack the opponent's face from the front.	game/old_fight/old_fight_labels.rpy	13	tut "[what]"
fight_tutorialLabel_77a15657	tut	{b}[w!u]{/b}: a strong, right-handed hook to attack the opponent's head from the side.	game/old_fight/old_fight_labels.rpy	17	tut "[what]"
fight_tutorialLabel_9eb7a572	tut	And {b}[r!u]{/b}: a right-footed kick to attack the opponent's legs.	game/old_fight/old_fight_labels.rpy	21	tut "[what]"
fight_tutorialLabel_0892bfef	tut	As you learn more about fighting, you'll gain new attack moves.	game/old_fight/old_fight_labels.rpy	25	tut "[what]"
fight_tutorialLabel_bcd5956e	tut	When attacking, look at the opponent's stance and try to identify possible points of attack.	game/old_fight/old_fight_labels.rpy	27	tut "[what]"
fight_tutorialLabel_472c2aed	tut	With your three actions, there are three possible points of attack.	game/old_fight/old_fight_labels.rpy	31	tut "[what]"
fight_tutorialLabel_bf9a21c1	tut	Since Tom has his guard up and could probably block both a jab and a hook, try to kick him by pressing {b}[r!u]{/b} in the upcoming screen.	game/old_fight/old_fight_labels.rpy	35	tut "[what]"
recap_start_544b7160		I still remember my first day at San Vallejo College.	game/recap/recap01.rpy	19	"[what]"
recap_start_f819199c		Young and naive, I had no idea how my life was about to change.	game/recap/recap01.rpy	23	"[what]"
recap_start_d02b745d		All the girls...	game/recap/recap01.rpy	27	"[what]"
recap_start_011e1edd		the parties... 	game/recap/recap01.rpy	31	"[what]"
recap_start_d392fea5		the fights... 	game/recap/recap01.rpy	35	"[what]"
recap_start_de5f87ed		All of the sudden, I could be whoever I wanted to be...	game/recap/recap01.rpy	43	"[what]"
recap_start_15325989	u	In those early days, my dorm mate was Imre.	game/recap/recap01.rpy	55	u "[what]"
recap_start_964ed496	u	He's an absolute sex hound, always trying to get laid...	game/recap/recap01.rpy	59	u "[what]"
recap_start_7b177169	u	and obsessed with joining a frat called the Wolves.	game/recap/recap01.rpy	63	u "[what]"
recap_start_e36a66bc	u	And I made friends with Ryan	game/recap/recap01.rpy	69	u "[what]"
recap_start_602d8c8f	u	He's not as confident as Imre, but he's a solid wingman and a loyal friend.	game/recap/recap01.rpy	73	u "[what]"
recap_start_118ffe31	u	And there were the girls of course.	game/recap/recap01.rpy	79	u "[what]"
recap_start_35b2e5e6	u	Lauren...	game/recap/recap01.rpy	83	u "[what]"
recap_start_5297b918	u	and Riley to start with.	game/recap/recap01.rpy	87	u "[what]"
recap_start_34071af0	u	But that was soon going to change into lots more girls entering my life...	game/recap/recap01.rpy	92	u "[what]"
recap_start_3b34470e	u	with so many choices about who I wanted to pursue a relationship with or just stay friends.	game/recap/recap01.rpy	96	u "[what]"
recap_start_9d52cd73	u	That kinda leads me to the first huge decision I had to make that was going to shape my whole future.	game/recap/recap01.rpy	100	u "[what]"
recap_start_c3d63b2b	u	Which frat did I want to join? The Wolves or the Apes?	game/recap/recap01.rpy	104	u "[what]"
recap_start_c1e0ee19	u	Joining either frat would mean hooking up with the hottest girls...	game/recap/recap01.rpy	110	u "[what]"
recap_start_f76ee3f5	u	going to awesome parties...	game/recap/recap01.rpy	122	u "[what]"
recap_start_5305e8c3	u	and competing in fight tournaments.	game/recap/recap01.rpy	126	u "[what]"
recap_start_7ef2a2ab	u	But both frats have a very different vibe.	game/recap/recap01.rpy	134	u "[what]"
recap_start_2bdbf6f1	u	Imre wanted me to join the Wolves.	game/recap/recap01.rpy	138	u "[what]"
recap_start_666ae7dc	u	Ryan wanted me to join the Apes	game/recap/recap01.rpy	143	u "[what]"
recap_start_b05b176a	u	After making my choice...	game/recap/recap01.rpy	160	u "[what]"
recap_start_f8396888	u	I passed my initiation by showing my loyaly to the frat and my new brothers...	game/recap/recap01.rpy	164	u "[what]"
recap_start_214224ac	u	and moved into the frat house.	game/recap/recap01.rpy	174	u "[what]"
recap_start_b05b176a_1	u	After making my choice...	game/recap/recap01.rpy	180	u "[what]"
recap_start_f8396888_1	u	I passed my initiation by showing my loyaly to the frat and my new brothers...	game/recap/recap01.rpy	184	u "[what]"
recap_start_214224ac_1	u	and moved into the frat house.	game/recap/recap01.rpy	194	u "[what]"
recap_start_113b5edb	u	Back to the girls.	game/recap/recap01.rpy	201	u "[what]"
recap_start_2a81a40e	u	I could pursue multiple girls at the same time...	game/recap/recap01.rpy	213	u "[what]"
recap_start_4340bb3f	u	but this became quite tricky as going for one girl...	game/recap/recap01.rpy	221	u "[what]"
